URL,FinalStatusCode,StatusLabel,RedirectChain,ResponseTimeMs,Notes,CheckedAt
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/,200,OK,200,319,,2026-05-08T07:42:49.492Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/admission-criteria-undergraduate-international-students/,200,OK,200,397,,2026-05-08T07:42:50.612Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/admitted-international-students/,200,OK,200,276,,2026-05-08T07:42:51.811Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/apply-now/,200,OK,200,304,,2026-05-08T07:42:52.888Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/applying-for-your-f-1-visa/,200,OK,200,386,,2026-05-08T07:42:53.992Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/arrival-at-the-university-of-findlay/,200,OK,200,397,,2026-05-08T07:42:55.179Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/arriving-at-the-point-of-entry/,200,OK,200,392,,2026-05-08T07:42:56.377Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/deferral-form/,200,OK,200,427,,2026-05-08T07:42:57.570Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/estimated-expenses-for-i-20/,200,OK,200,444,,2026-05-08T07:42:58.798Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/health-insurance/,200,OK,200,394,,2026-05-08T07:43:00.044Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/housing/,200,OK,200,454,,2026-05-08T07:43:01.239Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/,200,OK,200,425,,2026-05-08T07:43:02.494Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/address-update/,200,OK,200,426,,2026-05-08T07:43:03.720Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/change-of-status/,200,OK,200,434,,2026-05-08T07:43:04.949Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/curricular-practical-training/,200,OK,200,874,,2026-05-08T07:43:06.184Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/opt-application/,200,OK,200,390,,2026-05-08T07:43:07.859Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/opt-employer-update-form/,200,OK,200,421,,2026-05-08T07:43:09.051Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/severe-economic-hardship/,200,OK,200,405,,2026-05-08T07:43:10.272Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/stem-opt-extension/,200,OK,200,1464,,2026-05-08T07:43:11.487Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/immigration/travel-form/,200,OK,200,393,,2026-05-08T07:43:13.754Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/international-graduate-students/,200,OK,200,391,,2026-05-08T07:43:14.949Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/international-orientation-schedule/,200,OK,200,385,,2026-05-08T07:43:16.142Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/international-student-graduate-admission-requirements/,200,OK,200,401,,2026-05-08T07:43:17.329Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/invitation-letter-form/,200,OK,200,465,,2026-05-08T07:43:18.532Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/recruitment-partners/,200,OK,200,425,,2026-05-08T07:43:19.798Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/scholarships/,200,OK,200,326,,2026-05-08T07:43:21.025Z
https://findlayedu.wpenginepowered.com/admissions-aid/international-students/waive-english-proficiency-requirements/,200,OK,200,389,,2026-05-08T07:43:22.153Z
https://findlayedu.wpenginepowered.com/admissions-aid/military-services/,200,OK,200,273,,2026-05-08T07:43:23.342Z
https://findlayedu.wpenginepowered.com/admissions-aid/military-services/getting-started/,404,NOT_FOUND,404,411,,2026-05-08T07:43:24.416Z
https://findlayedu.wpenginepowered.com/admissions-aid/military-services/honor-wall/,200,OK,200,390,,2026-05-08T07:43:25.628Z
https://findlayedu.wpenginepowered.com/admissions-aid/military-services/scholarships-and-internships/,200,OK,200,382,,2026-05-08T07:43:26.819Z
https://findlayedu.wpenginepowered.com/admissions-aid/military-services/staff/,200,OK,200,382,,2026-05-08T07:43:28.002Z
https://findlayedu.wpenginepowered.com/admissions-aid/first-year-students/new-student-orientation/,200,OK,200,359,,2026-05-08T07:43:29.186Z
https://findlayedu.wpenginepowered.com/admissions-aid/first-year-students/future-oiler-registration/,200,OK,200,277,,2026-05-08T07:43:30.346Z
https://findlayedu.wpenginepowered.com/admissions-aid/oiler-early-advantage/,200,OK,200,274,,2026-05-08T07:43:31.424Z
https://findlayedu.wpenginepowered.com/admissions-aid/request-information/,200,OK,200,275,,2026-05-08T07:43:32.500Z
https://findlayedu.wpenginepowered.com/admissions-aid/first-year-students/scholarships-and-financial-aid/,200,OK,200,268,,2026-05-08T07:43:33.577Z
https://findlayedu.wpenginepowered.com/admissions-aid/transfer-students/,200,OK,200,267,,2026-05-08T07:43:34.647Z
https://findlayedu.wpenginepowered.com/admissions-aid/transfer-students/accepted-next-steps/,200,OK,200,278,,2026-05-08T07:43:35.715Z
https://findlayedu.wpenginepowered.com/admissions-aid/transfer-students/admissions-for-health-professions/,200,OK,200,267,,2026-05-08T07:43:36.793Z
https://findlayedu.wpenginepowered.com/admissions-aid/transfer-students/be-rewarded/,200,OK,200,269,,2026-05-08T07:43:37.862Z
https://findlayedu.wpenginepowered.com/admissions-aid/transfer-students/transfer-admission-criteria/,200,OK,200,339,,2026-05-08T07:43:38.931Z
https://findlayedu.wpenginepowered.com/admissions-aid/transfer-students/transfer-student-check-list/,404,NOT_FOUND,404,412,,2026-05-08T07:43:40.073Z
https://findlayedu.wpenginepowered.com/admissions-aid/transfer-students/transferology/,200,OK,200,441,,2026-05-08T07:43:41.287Z
https://findlayedu.wpenginepowered.com/admissions-aid/undecided-major/,200,OK,200,326,,2026-05-08T07:43:42.529Z
https://findlayedu.wpenginepowered.com/admissions-aid/accommodations/,200,OK,200,335,,2026-05-08T07:43:43.655Z
https://findlayedu.wpenginepowered.com/admissions-aid/oiler-scholarship/elite/,200,OK,200,271,,2026-05-08T07:43:44.792Z
https://findlayedu.wpenginepowered.com/admissions-aid/oiler-scholarship/leadership/,200,OK,200,371,,2026-05-08T07:43:45.863Z
https://findlayedu.wpenginepowered.com/admissions-aid/oiler-scholarship/,200,OK,200,325,,2026-05-08T07:43:47.035Z
https://findlayedu.wpenginepowered.com/admissions-aid/virtual-tour/,200,OK,200,278,,2026-05-08T07:43:48.160Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/,200,OK,200,374,,2026-05-08T07:43:49.239Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/art-major/,200,OK,200,275,,2026-05-08T07:43:50.415Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/art-management/,200,OK,200,267,,2026-05-08T07:43:51.490Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/childrens-book-illustration/,200,OK,200,333,,2026-05-08T07:43:52.557Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/graphic-design/,200,OK,200,294,,2026-05-08T07:43:53.691Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/orchestra/,200,OK,200,285,,2026-05-08T07:43:54.787Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/performing-arts/,200,OK,200,286,,2026-05-08T07:43:55.873Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/art/theatre/,200,OK,200,403,,2026-05-08T07:43:56.961Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/behavioral-sciences/political-science/,200,OK,200,281,,2026-05-08T07:43:58.165Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/behavioral-sciences/psychology/,200,OK,200,419,,2026-05-08T07:43:59.246Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/communication/journalism/,200,OK,200,308,,2026-05-08T07:44:00.466Z
https://findlayedu.wpenginepowered.com/academics/business-humanities/communication/organizational-communication/,200,OK,200,286,,2026-05-08T07:44:01.576Z
