url,path,seo_score,issue_type,issue_severity
https://uof.rt.gw/about/offices/campus-safety/sex-offender-registry/,/about/offices/campus-safety/sex-offender-registry/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/center-teaching-excellence/,/about/offices/center-teaching-excellence/,0.500,SEO_LOW,high
https://uof.rt.gw/about/offices/center-teaching-excellence/cte-events/,/about/offices/center-teaching-excellence/cte-events/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/center-teaching-excellence/programs/,/about/offices/center-teaching-excellence/programs/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/,/about/offices/civil-rights/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/confidential-resources/,/about/offices/civil-rights/confidential-resources/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/education-and-outreach/,/about/offices/civil-rights/education-and-outreach/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/employee-resources/,/about/offices/civil-rights/employee-resources/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/know-your-rights/,/about/offices/civil-rights/know-your-rights/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/lgbt-initiatives/,/about/offices/civil-rights/lgbt-initiatives/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/lgbt-initiatives/lgbt-links/,/about/offices/civil-rights/lgbt-initiatives/lgbt-links/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/lgbt-initiatives/safe-zone-allies/,/about/offices/civil-rights/lgbt-initiatives/safe-zone-allies/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/lgbtq-resources/,/about/offices/civil-rights/lgbtq-resources/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/make-a-report/,/about/offices/civil-rights/make-a-report/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/minors-on-campus/,/about/offices/civil-rights/minors-on-campus/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/mission/,/about/offices/civil-rights/mission/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/non-discrimination/,/about/offices/civil-rights/non-discrimination/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/pregnancy-and-parenting/,/about/offices/civil-rights/pregnancy-and-parenting/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/civil-rights/religious-accommodation/,/about/offices/civil-rights/religious-accommodation/,0.500,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/report/,/about/offices/civil-rights/report/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/serious-misconduct-disclosure/,/about/offices/civil-rights/serious-misconduct-disclosure/,0.500,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/team-training-material/,/about/offices/civil-rights/team-training-material/,0.500,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/title_ix_coordinator/,/about/offices/civil-rights/title_ix_coordinator/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/civil-rights/title-ix-policy/,/about/offices/civil-rights/title-ix-policy/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/commencement/,/about/offices/commencement/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/facilities-services/,/about/offices/facilities-services/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/facilities-services/campus-facilities/,/about/offices/facilities-services/campus-facilities/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/facilities-services/classrooms/,/about/offices/facilities-services/classrooms/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/facilities-services/meet-our-staff/,/about/offices/facilities-services/meet-our-staff/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/facilities-services/meeting-rooms/,/about/offices/facilities-services/meeting-rooms/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/facilities-services/rental-rates/,/about/offices/facilities-services/rental-rates/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/final-exam-schedules/,/about/offices/final-exam-schedules/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/,/about/offices/human-resources/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/employee-recognition/,/about/offices/human-resources/employee-recognition/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/employee-resources/,/about/offices/human-resources/employee-resources/,0.660,SEO_NEEDS_IMPROVEMENT,medium
https://uof.rt.gw/about/offices/human-resources/fringe-benefits/,/about/offices/human-resources/fringe-benefits/,0.580,SEO_LOW,high
https://uof.rt.gw/about/offices/human-resources/open-positions/,/about/offices/human-resources/open-positions/,0.660,SEO_NEEDS_IMPROVEMENT,medium
